General-Purpose Queue Implementations,Queue,false
General-Purpose Queue Implementations,LinkedList,false
General-Purpose Queue Implementations,PriorityQueue,false
General-Purpose Queue Implementations,Comparator,false
General-Purpose Queue Implementations,Collection,false
General-Purpose Queue Implementations,Arrays,false
Concurrent Queue Implementations,Queue,false
Concurrent Queue Implementations,BlockingQueue,false
Concurrent Queue Implementations,LinkedBlockingQueue,false
Lesson: Algorithms,Collections,false
Lesson: Algorithms,List,false
Lesson: Algorithms,Collection,false
Java's Stack Class,List,true
Java's Stack Class,Queue,false
Searching the Stack,Stack,false
Java's NavigableMap Interface,NavigableMap,true
Java's NavigableMap Interface,SortedMap,true
Java's NavigableMap Interface,SortedSet,false
Java's NavigableMap Interface,TreeMap,false
descendingKeySet() and descendingMap(),NavigableMap,false
descendingKeySet() and descendingMap(),NavigableSet,true
descendingKeySet() and descendingMap(),Map,true
"headMap(), tailMap() and subMap()",NavigableMap,false
"ceilingKey(), floorKey(), higherKey() and lowerKey()",NavigableMap,true
"celingEntry(), floorEntry(), higherEntry(), lowerEntry()",NavigableMap,true
"celingEntry(), floorEntry(), higherEntry(), lowerEntry()",Entry,true
pollFirstEntry() and pollLastEntry(),NavigableMap,true
More Detail in the JavaDoc,NavigableMap,true
Java's List Interface,List,false
Java's List Interface,Collection,false
List Implementations,Collection,false
List Implementations,List,true
Adding and Accessing Elements,List,true
Adding and Accessing Elements,Collection,false
Adding and Accessing Elements,String,false
Adding and Accessing Elements,Iterator,false
Removing Elements,List,true
Generic Lists,Object,false
Generic Lists,List,true
More Details in the JavaDoc,List,false
Java Collections Overview,Collections,false
Java Collections Overview,Collection,false
Java Collections Overview,Map,false
Java's Iterable Interface,Iterable,false
Java's Iterable Interface,Collection,false
Sorting Java Collections,List,true
Sorting Java Collections,Collections,false
Sorting Objects by their Natural Order,List,true
Sorting Objects by their Natural Order,Comparable,true
Sorting Objects by their Natural Order - part 2,List,false
Sorting Objects by their Natural Order - part 2,String,false
Sorting Objects by their Natural Order - part 2,Comparable,true
Sorting Objects Using a Comparator,Comparator,true
Sorting Objects Using a Comparator,Collections,false
Sorting Objects Using a Comparator,List,false
Sorting Objects Using a Comparator - part 2,Comparator,true
Java's Map Interface,Map,false
Java's Map Interface,Collection,false
Map Implementations,Map,true
Map Implementations,HashMap,true
Map Implementations,TreeMap,true
Adding and Accessing Elements,Map,true
Removing Elements,Map,false
Generic Maps,Object,false
Generic Maps,Map,true
Generic Maps,String,false
More Details in the JavaDoc,Map,false
Java's Set Interface,Set,false
Java's Set Interface,Collection,false
Java Set Example,Set,true
Java Set Example,HashSet,false
Set Implementations,Collection,false
Set Implementations,Set,true
Set Implementations,HashSet,true
Set Implementations,HashMap,false
Set Implementations,LinkedHashSet,true
Set Implementations - part 2,TreeSet,true
Set Implementations - part 2,Collections,false
Set Implementations - part 2,List,false
Set Implementations - part 2,Comparable,false
Set Implementations - part 2,Comparator,false
Set Implementations - part 2,Set,true
Adding and Accessing Elements,Set,true
Adding and Accessing Elements,Collection,false
Adding and Accessing Elements,String,false
Removing Elements,Set,true
Generic Sets,Object,false
Generic Sets,Set,true
More Details in the JavaDoc,Set,false
Java's Queue Interface,Queue,false
Java's Queue Interface,Collection,false
Java's Queue Interface,List,false
Queue Implementations,Collection,false
Queue Implementations,Queue,true
Queue Implementations,LinkedList,true
Queue Implementations,PriorityQueue,true
Queue Implementations,Comparable,false
Queue Implementations,Comparator,false
Adding and Accessing Elements,Queue,true
