file_path;xpath;content;simple_name;fqn;kind;abstract
collection.html;/html/body/div/div[2]/div[3]/div[1];Collection;Collection;java.util.Collection;class;t
collection.html;/html/body/div/div[2]/div[3]/div[2];Collection;Collection;java.util.Collection;class;t
collection.html;/html/body/div/div[2]/div[3]/div[3];Collection;Collection;java.util.Collection;class;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[2]/code[1];add();add;java.util.Collection.add;method;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[2]/code[2];add();add;java.util.Collection.add;method;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[2]/code[3];Set;Set;java.util.Set;class;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[2]/code[4];Set;Set;java.util.Set;class;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[2]/code[5];add();add;java.util.Collection.add;method;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[2]/code[6];List;List;java.util.List;class;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[2]/code[7];List;List;java.util.List;class;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[2]/code[8];List;List;java.util.List;class;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[3]/code[1];remove();remove;java.util.Collection.remove;method;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[3]/code[2];remove();remove;java.util.Collection.remove;method;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[5]/code[1];addAll();addAll;java.util.Collection.addAll;method;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[5]/code[2];add();add;java.util.Collection.add;method;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[6]/code;addAll();addAll;java.util.Collection.addAll;method;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[7]/code;removeAll();removeAll;java.util.Collection.removeAll;method;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[8]/code[1];retainAll();retainAll;java.util.Collection.retainAll;method;t
collection.html;/html/body/div/div[2]/div[3]/div[3]/p[8]/code[2];removeAll();removeAll;java.util.Collection.removeAll;method;t
collection.html;/html/body/div/div[2]/div[3]/div[4];Collection;Collection;java.util.Collection;class;t
collection.html;/html/body/div/div[2]/div[3]/div[4]/p[1]/code[1];contains();contains;java.util.Collection.contains;method;t
collection.html;/html/body/div/div[2]/div[3]/div[4]/p[1]/code[2];containsAll();containsAll;java.util.Collection.containsAll;method;t
collection.html;/html/body/div/div[2]/div[3]/div[4]/p[2]/code;contains();contains;java.util.Collection.contains;method;t
collection.html;/html/body/div/div[2]/div[3]/div[4]/p[3]/code;containsAll();containsAll;java.util.Collection.containsAll;method;t
collection.html;/html/body/div/div[2]/div[3]/div[5];Collection;Collection;java.util.Collection;class;t
collection.html;/html/body/div/div[2]/div[3]/div[5]/p/code;size();size;java.util.Collection.size;method;t
collection.html;/html/body/div/div[2]/div[3]/div[6];Collection;Collection;java.util.Collection;class;t
collection.html;/html/body/div/div[2]/div[3]/div[6]/p[1]/code;Iterator;Iterator;java.util.Iterator;class;t
deque.html;/html/body/div/div[2]/div[3]/div[1];Deque;Deque;java.util.Deque;class;t
deque.html;/html/body/div/div[2]/div[3]/div[1]/p[1]/a/code;java.util.Queue;Queue;java.util.Queue;class;t
deque.html;/html/body/div/div[2]/div[3]/div[1]/p[1]/code;java.util.Deque;Deque;java.util.Deque;class;t
deque.html;/html/body/div/div[2]/div[3]/div[2];Deque;Deque;java.util.Deque;class;t
deque.html;/html/body/div/div[2]/div[3]/div[2]/p[1]/code[1];Queue;Queue;java.util.Queue;class;t
deque.html;/html/body/div/div[2]/div[3]/div[2]/p[1]/code[2];Queue;Queue;java.util.Queue;class;t
deque.html;/html/body/div/div[2]/div[3]/div[2]/p[1]/code[3];Collection;Collection;java.util.Collection;class;t
deque.html;/html/body/div/div[2]/div[3]/div[2]/p[1]/code[4];Deque;Deque;java.util.Deque;class;t
deque.html;/html/body/div/div[2]/div[3]/div[2]/p[2]/code[1];Deque;Deque;java.util.Deque;class;t
deque.html;/html/body/div/div[2]/div[3]/div[2]/p[2]/code[2];Deque;Deque;java.util.Deque;class;t
deque.html;/html/body/div/div[2]/div[3]/div[2]/p[3]/code;LinkedList;LinkedList;java.util.LinkedList;class;f
deque.html;/html/body/div/div[2]/div[3]/div[2]/p[4]/code[1];ArrayDeque;ArrayDeque;java.util.ArrayDeque;class;f
deque.html;/html/body/div/div[2]/div[3]/div[2]/p[4]/code[2];ArrayDeque;ArrayDeque;java.util.ArrayDeque;class;f
deque.html;/html/body/div/div[2]/div[3]/div[2]/p[5]/code[1];Queue;Queue;java.util.Queue;class;t
deque.html;/html/body/div/div[2]/div[3]/div[2]/p[6]/code;Deque;Deque;java.util.Deque;class;t
deque.html;/html/body/div/div[2]/div[3]/div[3];Deque;Deque;java.util.Deque;class;t
deque.html;/html/body/div/div[2]/div[3]/div[3]/p[1]/code[1];Deque;Deque;java.util.Deque;class;t
deque.html;/html/body/div/div[2]/div[3]/div[3]/p[1]/code[2];add();add;java.util.Deque.add;method;t
